,time,value,target_prob,timeout,gap,status,id,path,unknown_fraction
0,0.05994391441345215,-0.2,0.0001,1800,0.0,3,0,out/user_strategies/model_spotify1000_model-it_0_it_1.pickle,0
0,1.1003220081329346,0.0,0.9,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_9_it_0.pickle,1
0,1.0747570991516113,0.0,1.0,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_9_it_0.pickle,1
0,1.0284321308135986,0.0,0.4,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_0_it_1.pickle,1
0,0.07850503921508789,-0.2,0.0001,1800,0.0,3,0,out/user_strategies/model_spotify1000_model-it_1_it_1.pickle,0
0,0.9038331508636475,0.0,0.4,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_1_it_1.pickle,1
0,1.2994170188903809,0.0,0.7,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_0_it_1.pickle,1
0,1.3990039825439453,0.0,0.9,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_0_it_1.pickle,1
0,1.5761771202087402,0.0,0.5,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_0_it_1.pickle,1
0,1.1740100383758545,0.0,0.6,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_0_it_1.pickle,1
0,0.8394081592559814,0.0,0.7,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_1_it_1.pickle,1
0,0.8252489566802979,0.0,0.5,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_1_it_1.pickle,1
0,1.596350908279419,0.0,0.8,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_0_it_1.pickle,1
0,0.06263995170593262,-0.2,0.0001,1800,0.0,3,0,out/user_strategies/model_spotify1000_model-it_2_it_1.pickle,0
0,0.8923759460449219,0.0,0.8,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_1_it_1.pickle,1
0,0.8976950645446777,0.0,0.6,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_1_it_1.pickle,1
0,1.829908847808838,0.0,1.0,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_0_it_1.pickle,1
0,0.8399190902709961,0.0,0.4,1800,0.0,2,0,out/user_strategies/model_spotify1000_model-it_2_it_1.pickle,1
